"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340"
0,-40.2712169793698,56.1833055978501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77597662058815,-7.10463603956407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.942159788265,2.94397961101543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10822723961878,-1.69705793039337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.741185201290991,1.1425489535352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543133853516878,-0.841224489780686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42215321452571,0.656184326762108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341807857076791,-0.53278287604721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.2712169793698,0,0,0.48129607444384,-4.64937931487242e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.1637194750279,0,0,-1.06300431249726,1.20609962204337e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1902433663035,0,0,0.896714603825363,-1.0286149614423e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81030985549808,0,0,-0.734831482444699,8.46463735417212e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70803767705084,0,0,0.61267449263368,-7.07342402148039e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19153843897796,0,0,-0.521275449403624,6.0267321146757e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900177692147024,0,0,0.451388711477838,-5.22381184204045e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.716051697756412,0,0,-0.39662111550728,4.59325240794751e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313339528539595,0.0313339528539595,0.0313339528539595,0.0313339528539595,0.0313339528539595,0.0313339528539595,-0.0701848074738534,-0.0701848074738534,-0.0701848074738534,-0.0701848074738534,-0.0701848074738534,-0.0701848074738534,0.14101565751403,0.14101565751403,0.14101565751403,0.14101565751403,0.14101565751403,0.14101565751403,-0.274533958193545,-0.274533958193545,-0.274533958193545,-0.274533958193545,-0.274533958193545,-0.274533958193545,0.552611297446957,0.552611297446957,0.552611297446957,0.552611297446957,0.552611297446957,0.552611297446957,-1.25376102066985,-1.25376102066985,-1.25376102066985,-1.25376102066985,-1.25376102066985,-1.25376102066985,3.88171534338472,3.88171534338472,3.88171534338472,3.88171534338472,3.88171534338472,3.88171534338472,0.590406276745112,0.590406276745112,0.590406276745112,0.590406276745112,0.590406276745112,0.590406276745112,-0.499790070413407,-0.499790070413407,-0.499790070413407,-0.499790070413407,-0.499790070413407,-0.499790070413407,0.431652263149663,0.431652263149663,0.431652263149663,0.431652263149663,0.431652263149663,0.431652263149663,-0.378722705496259,-0.378722705496259,-0.378722705496259,-0.378722705496259,-0.378722705496259,-0.378722705496259,0.336522964606117,0.336522964606117,0.336522964606117,0.336522964606117,0.336522964606117,0.336522964606117,-0.302153750332915,-0.302153750332915,-0.302153750332915,-0.302153750332915,-0.302153750332915,-0.302153750332915,0.273662271534686,0.273662271534686,0.273662271534686,0.273662271534686,0.273662271534686,0.273662271534686
56.1833055978501,0,0,-0.17195389613115,1.17094795932318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0811159577456,0,0,0.196433646450553,-1.40267924587171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.56039759693064,0,0,-0.154238039361795,1.1091781093281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85236383170678,0,0,0.122756308380355,-0.885426925618676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33289496965789,0,0,-0.100711861011599,0.727643351523803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62431689725065,0,0,0.0848102461194579,-0.613416307094222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2257020177519,0,0,-0.0729169455775788,0.527792043778502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97424232944902,0,0,0.0637344869052291,-0.46158333113304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0520916255060862,-0.0520916255060862,-0.0520916255060862,-0.0520916255060862,-0.0520916255060862,-0.0520916255060862,0.113654275791153,0.113654275791153,0.113654275791153,0.113654275791153,0.113654275791153,0.113654275791153,-0.224184478332334,-0.224184478332334,-0.224184478332334,-0.224184478332334,-0.224184478332334,-0.224184478332334,0.430077092045219,0.430077092045219,0.430077092045219,0.430077092045219,0.430077092045219,0.430077092045219,-0.854024137254424,-0.854024137254424,-0.854024137254424,-0.854024137254424,-0.854024137254424,-0.854024137254424,1.90875354119116,1.90875354119116,1.90875354119116,1.90875354119116,1.90875354119116,1.90875354119116,-5.7817015123422,-5.7817015123422,-5.7817015123422,-5.7817015123422,-5.7817015123422,-5.7817015123422,-0.802859712901302,-0.802859712901302,-0.802859712901302,-0.802859712901302,-0.802859712901302,-0.802859712901302,0.679367880606948,0.679367880606948,0.679367880606948,0.679367880606948,0.679367880606948,0.679367880606948,-0.586572490303334,-0.586572490303334,-0.586572490303334,-0.586572490303334,-0.586572490303334,-0.586572490303334,0.514526919164408,0.514526919164408,0.514526919164408,0.514526919164408,0.514526919164408,0.514526919164408,-0.457110327779395,-0.457110327779395,-0.457110327779395,-0.457110327779395,-0.457110327779395,-0.457110327779395,0.410363883445109,0.410363883445109,0.410363883445109,0.410363883445109,0.410363883445109,0.410363883445109,-0.371622856556334,-0.371622856556334,-0.371622856556334,-0.371622856556334,-0.371622856556334,-0.371622856556334
0,0.48129607444384,-0.17195389613115,0,0,1.08111427144659,6.13288970458883e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9543002670536,-12.2628485287635,0,0,-1.78666582163329,-1.01261117433816e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9553472583505,-6.7303420746859,0,0,1.48270126877153,8.40258050388579e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.6095667687201,1.63295290771933,0,0,-1.20975602036933,-6.85552805195701e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70007068644355,-0.806123518646663,0,0,1.00704038163781,5.70665258323718e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5686616302278,0.505856725494853,0,0,-0.856295588237803,-4.85235860818085e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52436226264753,-0.358265261755591,0,0,0.74139289949163,4.20120562339568e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92104332569231,0.27284076801199,0,0,-0.651517856027447,-3.69189361825079e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-4.64937931487242e-17,1.17094795932318,0,0,-0.0697950212632298,1.21027137947531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01135623926248e-14,90.0452458895802,0,0,0.107218394058239,-1.85772122644616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.78561094824552e-15,49.6410315440138,0,0,-0.0882658449648821,1.5292040400842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36821436365559e-15,-12.0117609597181,0,0,0.0717819853639801,-1.24357761394033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71321470950486e-16,5.92586747482597,0,0,-0.0596454479808181,1.03330001857169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20177853970154e-16,-3.71755042903965,0,0,0.0506582619369964,-0.877595144366843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9717619593933e-16,2.63250484396142,0,0,-0.043825208549836,0.759214254745106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26130850770544e-16,-2.00463043903533,0,0,0.0384895938656387,-0.666777754697518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.08111427144659,-0.0697950212632298,0,0,119.526301065954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.640255387236,-6.45926932697561,0,0,40.6665315934713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.7254167414719,-3.58778016345078,0,0,-15.5627613708522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.1157633468327,0.822799724353005,0,0,8.87807185126938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82219610128703,-0.397918518247908,0,0,-5.98847349856505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22564851515385,0.246535500742146,0,0,4.42926642476442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96488254859479,-0.173003255644587,0,0,-3.47188887887487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24173711884126,0.130818000372833,0,0,2.8318952479752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.13288970458883e-17,1.21027137947531,0,0,-3.8338189250937,120.017516219085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26847247140337e-15,111.878832253458,0,0,-1.30429519816552,40.8308981615452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49695605506029e-15,62.1395232372677,0,0,0.499156719033276,-15.6260769725783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.99732866760067e-16,-14.2511726326898,0,0,-0.284756388209922,8.91428497490587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86516525728021e-16,6.8921369608226,0,0,0.192076188303124,-6.01293579466768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39407970813012e-16,-4.2701249130622,0,0,-0.142066243212447,4.44737687983469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67978402265792e-16,2.99651258164783,0,0,0.111359205064325,-3.48609453421838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27007995723513e-16,-2.26584273196914,0,0,-0.0908319016285507,2.84348829193818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.526301065954,-3.8338189250937,0,0,116.394584660392,6.50145446263022e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9056928040613,-0.638541088462984,0,0,45.8112360059584,2.55887905471342e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.70841226934903,0.215191232999487,0,0,-17.2540462329956,-9.63759578740177e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55267146261379,-0.11396164179713,0,0,9.75326473481438,5.44788288221375e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27660501748707,0.0730283224871051,0,0,-6.53458562904703,-3.65002470032132e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62106670008914,-0.052000180982766,0,0,4.80737191278041,2.68525461618878e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23384227147744,0.0395789305424329,0,0,-3.75173192967581,-2.09560559608091e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983061183496816,-0.0315344611626582,0,0,3.04889859640397,1.70302385145612e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,120.017516219085,0,0,-2.36605639557718,116.634821416829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9894979232191,0,0,-0.931245798569169,45.9057897412423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.73655115208388,0,0,0.350738366035474,-17.289658337412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56756369040208,0,0,-0.198263299541785,9.77339533359956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28614810709521,0,0,0.132834342466748,-6.54807292023643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62786315327659,0,0,-0.0977237308190921,4.81729425958618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23901650837471,0,0,0.0762647966191958,-3.75947545066897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987184783109429,0,0,-0.0619776774369358,3.055191479459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,116.394584660392,-2.36605639557718,0,0,111.981356432684,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7790655833727,-0.341083011303168,0,0,50.5401714272087,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.54362528340051,0.112690208867909,0,0,-18.719724532443,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88560491974541,-0.0586582614250776,0,0,10.4580461134218,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82392857478859,0.0370766207211961,0,0,-6.94196813826272,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2845039403777,-0.0261112557095533,0,0,5.06844475761171,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.968924235272299,0.0196961859555986,0,0,-3.93055723280105,-2.19096994803051e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766263629373303,-0.0155765233087673,0,0,3.1772494750242,1.77106138007127e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
