"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310"
0,-0.51586168839345,0.956075005231672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589300939351661,-1.14528280839253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.462714118085385,0.905640133906275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368268925141066,-0.722948057428997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302135583034797,0.594118308653977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254430738358374,-0.500852317427744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218750836732737,0.430940399186003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191203460715688,-0.376881211683358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.51586168839345,0,0,0.882726106228309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.7885455862907,0,0,-1.45880653462401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.1910262240577,0,0,1.21062051648915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89885872315799,0,0,-0.987761654388291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41837055593999,0,0,0.822245028463427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51757017648456,0,0,-0.699162420059662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07479578526678,0,0,0.605344767559009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81852230403597,0,0,-0.531962101859773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693285375922915,0.0693285375922915,0.0693285375922915,0.0693285375922915,0.0693285375922915,-0.101409193531677,-0.101409193531677,-0.101409193531677,-0.101409193531677,-0.101409193531677,0.141957675787578,0.141957675787578,0.141957675787578,0.141957675787578,0.141957675787578,-0.195862588939694,-0.195862588939694,-0.195862588939694,-0.195862588939694,-0.195862588939694,0.271379974916764,0.271379974916764,0.271379974916764,0.271379974916764,0.271379974916764,-0.382354636802924,-0.382354636802924,-0.382354636802924,-0.382354636802924,-0.382354636802924,0.541464738666345,0.541464738666345,0.541464738666345,0.541464738666345,0.541464738666345,-0.654074104684825,-0.654074104684825,-0.654074104684825,-0.654074104684825,-0.654074104684825,0.540787700910892,0.540787700910892,0.540787700910892,0.540787700910892,0.540787700910892,-0.458574259109598,-0.458574259109598,-0.458574259109598,-0.458574259109598,-0.458574259109598,0.39649952671504,0.39649952671504,0.39649952671504,0.39649952671504,0.39649952671504,-0.348154097324739,-0.348154097324739,-0.348154097324739,-0.348154097324739,-0.348154097324739,0.309536763698493,0.309536763698493,0.309536763698493,0.309536763698493,0.309536763698493,-0.278045731828181,-0.278045731828181,-0.278045731828181,-0.278045731828181,-0.278045731828181
0.956075005231672,0,0,-0.209385063789689,1.10482155873587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5216353976386,0,0,0.321655182174715,-1.69585970213454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5317325294127,0,0,-0.264797534894646,1.39596591297025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.80756175453094,0,0,0.21534595609194,-1.13522585193929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83845053222622,0,0,-0.178936343942454,0.943269548070374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03536721473728,0,0,0.151974785810989,-0.801131094877872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14943120437018,0,0,-0.131475625649508,0.69306462217228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63677389949599,0,0,0.115468781596916,-0.608682028484128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137794174290467,-0.137794174290467,-0.137794174290467,-0.137794174290467,-0.137794174290467,0.201223881144779,0.201223881144779,0.201223881144779,0.201223881144779,0.201223881144779,-0.281196059545611,-0.281196059545611,-0.281196059545611,-0.281196059545611,-0.281196059545611,0.387200959927334,0.387200959927334,0.387200959927334,0.387200959927334,0.387200959927334,-0.535119947382251,-0.535119947382251,-0.535119947382251,-0.535119947382251,-0.535119947382251,0.751032986223101,0.751032986223101,0.751032986223101,0.751032986223101,0.751032986223101,-1.0550915116501,-1.0550915116501,-1.0550915116501,-1.0550915116501,-1.0550915116501,1.3078537131095,1.3078537131095,1.3078537131095,1.3078537131095,1.3078537131095,-1.08128678098026,-1.08128678098026,-1.08128678098026,-1.08128678098026,-1.08128678098026,0.916875926715548,0.916875926715548,0.916875926715548,0.916875926715548,0.916875926715548,-0.79274525035567,-0.79274525035567,-0.79274525035567,-0.79274525035567,-0.79274525035567,0.696073002031261,0.696073002031261,0.696073002031261,0.696073002031261,0.696073002031261,-0.618855756031527,-0.618855756031527,-0.618855756031527,-0.618855756031527,-0.618855756031527,0.555889582952177,0.555889582952177,0.555889582952177,0.555889582952177,0.555889582952177
0,0.882726106228309,-0.209385063789689,0,0,109.112085514961,-2.01114039867368e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3373902366483,-19.3778079809268,0,0,37.1232944820679,-6.84251949840233e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3985917257508,-10.7633404903523,0,0,-14.206792433143,2.61857832365853e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.5254725098738,2.46839917305901,0,0,8.10453370015315,-1.49381757848954e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57029979111932,-1.19375555474372,0,0,-5.46670336697659,1.00761597003702e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45022756482544,0.739606502226435,0,0,4.04334855673956,-7.45264980501433e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42081646377993,-0.51900976693376,0,0,-3.16938642685182,5.84177366967814e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83037069287266,0.392454001118499,0,0,2.58515484634617,-4.76492528190283e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.10482155873587,0,0,-11.5014567752811,113.858613110553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.130933554259,0,0,-3.91288559449656,38.7355911302594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7253643161133,0,0,1.49747015709983,-14.8241982379368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.0094812030408,0,0,-0.854269164629766,8.45683326975584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2916314714294,0,0,0.576228564909371,-5.70437176065132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89807289708159,0,0,-0.426198729637341,4.21915216603518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73542922469426,0,0,0.334077615192976,-3.30719966003816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06842196009772,0,0,-0.272495704885652,2.69756985076394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,109.112085514961,-11.5014567752811,0,0,110.42159845084,6.50145446263022e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1713282859211,-1.91562326538895,0,0,43.4603544619031,2.55887905471342e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.12391454161147,0.645573698998461,0,0,-16.3686254850343,-9.63759578740177e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24313049913074,-0.341884925391389,0,0,9.25275935538347,5.44788288221375e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07824653767852,0.219084967461315,0,0,-6.19925224595783,-3.65002470032132e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47982466476547,-0.156000542948298,0,0,4.56067344117192,2.68525461618878e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12633874081934,0.118736791627298,0,0,-3.55920542044627,-2.09560559608091e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897407976014886,-0.0946033834879744,0,0,2.8924391758581,1.70302385145612e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.01114039867368e-14,113.858613110553,0,0,-7.09816918673157,112.67994259172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.34931664452208e-15,18.9637028161734,0,0,-2.79373739570752,44.34920626478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12875231689814e-15,-6.39085356444492,0,0,1.05221509810643,-16.7033968520222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.97769782713778e-16,3.38448808781591,0,0,-0.594789898625357,9.44199692457607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83059818772858e-16,-2.16883052607102,0,0,0.398503027400247,-6.32603944324447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72759442935905e-16,1.54432658502535,0,0,-0.293171192457278,4.65394840086127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07605356781712e-16,-1.17543426750395,0,0,0.228794389857589,-3.63199834157962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65409122750939e-16,0.936525715825534,0,0,-0.185933032310808,2.95159538403921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,110.42159845084,-7.09816918673157,0,0,108.18426830769,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9180192758399,-1.02324903390951,0,0,48.8264443312454,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.25914471701261,0.33807062660373,0,0,-18.0849720523011,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73752519213487,-0.175974784275234,0,0,10.1034324172412,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73033057573901,0.111229862163589,0,0,-6.70657837677389,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2185874345164,-0.0783337671286604,0,0,4.89658283332001,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.919202239079197,0.0590885578667962,0,0,-3.79727904553199,-2.19096994803051e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726941507090022,-0.0467295699263021,0,0,3.06951461061389,1.77106138007127e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.50145446263022e-15,112.67994259172,0,0,-4.71805499524671,109.411866013373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37228575831721e-16,16.2435748380699,0,0,-2.12938399622002,49.3804919018887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.09650379724054e-16,-5.36670482141547,0,0,0.788708876669377,-18.2901873811658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61181287236043e-16,2.79351309726305,0,0,-0.440623674134643,10.2180789425535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01879212049916e-16,-1.76571932189309,0,0,0.292482503292971,-6.78267983179225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17485602942877e-17,1.24351000248769,0,0,-0.21354627117021,4.95214575338132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.41212188843808e-17,-0.938001776669951,0,0,0.165604219997709,-3.84036785240801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28012016819848e-17,0.741808925387989,0,0,-0.133865477560938,3.104345267164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,108.18426830769,-4.71805499524671,0,0,103.926433915688,1.18582230799832e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7047073532961,-0.597679902984718,0,0,53.5930521721173,6.11507914059402e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40035553523014,0.191905160876134,0,0,-19.4900800130386,-2.22385881948794e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24116420314431,-0.097740051573298,0,0,10.7258279320293,1.2238393596638e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39304141427261,0.0607523266183357,0,0,-7.03241010081444,-8.02412674267627e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968127529661922,-0.0422212859485838,0,0,5.08233361520891,5.79904876029306e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.722484610375095,0.0315084825020423,0,0,-3.90784575744947,-4.45893359446895e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566341883633973,-0.0246988974912424,0,0,3.13622923567968,3.57850303386971e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
