"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280"
0,-0.348975106316148,0.855791099502991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536091970291191,-1.31360727677427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.441329224824409,1.0813105465614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358909926819899,-0.879342163748996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29822723990409,0.730653450132231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253291309684981,-0.620553477718182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219126042749179,0.536845547903755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192447969328193,-0.471483071890955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.348975106316148,0,0,84.517858013881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.2963466348779,0,0,28.7555802570806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.9389008172538,0,0,-11.0045340993177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11399862176501,0,0,6.27774480989398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98959259123953,0,0,-4.23449021979127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23267750371072,0,0,3.13196432463282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.865016278222932,0,0,-2.45499616977858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654090001864165,0,0,2.00245233345322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120423358355321,0.120423358355321,0.120423358355321,0.120423358355321,-0.154119182559125,-0.154119182559125,-0.154119182559125,-0.154119182559125,0.195611697805707,0.195611697805707,0.195611697805707,0.195611697805707,-0.249144709905019,-0.249144709905019,-0.249144709905019,-0.249144709905019,0.321070568399919,0.321070568399919,0.321070568399919,0.321070568399919,-0.419643960426272,-0.419643960426272,-0.419643960426272,-0.419643960426272,0.537863070960703,0.537863070960703,0.537863070960703,0.537863070960703,-0.519718042435788,-0.519718042435788,-0.519718042435788,-0.519718042435788,0.427711856166231,0.427711856166231,0.427711856166231,0.427711856166231,-0.361300497071225,-0.361300497071225,-0.361300497071225,-0.361300497071225,0.311395090064683,0.311395090064683,0.311395090064683,0.311395090064683,-0.27268645026535,-0.27268645026535,-0.27268645026535,-0.27268645026535,0.241884723677861,0.241884723677861,0.241884723677861,0.241884723677861,-0.216853592219203,-0.216853592219203,-0.216853592219203,-0.216853592219203
0.855791099502991,0,0,-19.1690946254685,100.413858304414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1102809576526,0,0,-6.5214759908276,34.1615803392486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9392782607711,0,0,2.49578359516638,-13.0737139745009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0771008084351,0,0,-1.42378194104961,7.45822590363706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8734767818641,0,0,0.960380941515618,-5.03078302151436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0194342825399,0,0,-0.710331216062235,3.72094245828953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11885436639399,0,0,0.556796025321626,-2.91667594549945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60219276087763,0,0,-0.454159508142753,2.37903298978233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294988856696279,-0.294988856696279,-0.294988856696279,-0.294988856696279,0.37753717635876,0.37753717635876,0.37753717635876,0.37753717635876,-0.479188628182312,-0.479188628182312,-0.479188628182312,-0.479188628182312,0.610342255736029,0.610342255736029,0.610342255736029,0.610342255736029,-0.786566477563161,-0.786566477563161,-0.786566477563161,-0.786566477563161,1.02810217553395,1.02810217553395,1.02810217553395,1.02810217553395,-1.3178652609154,-1.3178652609154,-1.3178652609154,-1.3178652609154,1.27304960164184,1.27304960164184,1.27304960164184,1.27304960164184,-1.04768086286289,-1.04768086286289,-1.04768086286289,-1.04768086286289,0.885006413440797,0.885006413440797,0.885006413440797,0.885006413440797,-0.762763180164133,-0.762763180164133,-0.762763180164133,-0.762763180164133,0.667946374637486,0.667946374637486,0.667946374637486,0.667946374637486,-0.59249752499835,-0.59249752499835,-0.59249752499835,-0.59249752499835,0.531183735464234,0.531183735464234,0.531183735464234,0.531183735464234
0,84.517858013881,-19.1690946254685,0,0,97.3826962903863,-2.60058178505209e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.075450365968,-3.19270544231491,0,0,38.328429932304,-1.02355162188537e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74356380665173,1.07595616499743,0,0,-14.4357707791182,3.85503831496071e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51211808254214,-0.569808208985648,0,0,8.16016673182366,-2.1791531528855e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60980284594843,0.365141612435525,0,0,-5.46722658578768,1.46000988012853e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14626725638873,-0.26000090491383,0,0,4.02213591210602,-1.07410184647551e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.872458237076309,0.197894652712164,0,0,-3.1389241358313,8.38242238432364e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695129229171871,-0.157672305813291,0,0,2.55089158056705,-6.81209540582447e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100.413858304414,0,0,-11.8302819778859,104.321355692632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7244138628433,0,0,-4.65622899284586,41.0593865688921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.63620306565066,0,0,1.75369183017737,-15.4643405400797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98483793187381,0,0,-0.991316497708926,8.74159053476314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9127287359431,0,0,0.664171712333744,-5.85677446850969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36196802901424,0,0,-0.488618654095462,4.30871897282169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03663558477295,0,0,0.38132398309598,-3.36257706697499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82593804683037,0,0,-0.30988838718468,2.73264633293939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,97.3826962903863,-11.8302819778859,0,0,100.159170078446,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0383734562016,-1.70541505651584,0,0,45.2045035622925,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.63812967670484,0.563451044339548,0,0,-16.7434306298452,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41427028872106,-0.293291307125389,0,0,9.35396080857547,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52600812977888,0.185383103605981,0,0,-6.20908506191724,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07469310083953,-0.130556278547767,0,0,4.53335480728889,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81066017639243,0.0984809297779935,0,0,-3.51559726479864,-2.19096994803051e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641102148483565,-0.0778826165438367,0,0,2.84181832305185,1.77106138007127e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.60058178505209e-14,104.321355692632,0,0,-7.86342499207787,103.797209895428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.74891430332688e-15,15.0386280772448,0,0,-3.54897332703338,46.8464479168405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23860151889622e-15,-4.9686031932127,0,0,1.31451479444896,-17.3515952867263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.44725148944171e-16,2.58629057442401,0,0,-0.734372790224407,9.69372083096216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07516848199666e-16,-1.63473843876538,0,0,0.48747083882162,-6.43461507244538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86994241177151e-16,1.15126655457132,0,0,-0.355910451950352,4.69801796574463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16484875537523e-16,-0.868420898463405,0,0,0.276007033329516,-3.6432928399496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71204806727939e-16,0.686781613314878,0,0,-0.223109129268231,2.94504050634065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100.159170078446,-7.86342499207787,0,0,98.5932720817633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6880935291822,-0.9961331716412,0,0,50.8428334872375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07393760066147,0.319841934793557,0,0,-18.4899133860378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07491486616174,-0.162900085955497,0,0,10.1754138168798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28970574114917,0.101253877697226,0,0,-6.67153000768439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896311926104154,-0.0703688099143065,0,0,4.82152501586938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.668890774061604,0.0525141375034039,0,0,-3.70730800144988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52433069921138,-0.0411648291520708,0,0,2.97528829474704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.24206116721167e-15,103.797209895428,0,0,-5.47740400454241,100.700847387667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90739937665493e-16,13.1489578656638,0,0,-2.82460186040209,51.9296733707037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53893554377652e-16,-4.22191353927495,0,0,1.02721741033544,-18.8851623116278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29311629690965e-16,2.15028113461256,0,0,-0.565300767604436,10.3929281607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.03762862417087e-17,-1.33655118560339,0,0,0.370640555982467,-6.81414371346681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58594271823688e-17,0.928868290868845,0,0,-0.267862500881633,4.92459216077374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16862192708464e-17,-0.69318661504493,0,0,0.205961555636104,-3.78655712900451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26770309075137e-17,0.543375744807333,0,0,-0.165293794152614,3.03888943106752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,98.5932720817633,-5.47740400454241,0,0,94.1965026053682,5.54614568906532e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1635457974636,-0.62019698874798,0,0,56.2705991874998,3.31312662862166e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45238128510337,0.191798960283521,0,0,-19.8927601952669,-1.17125522868725e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71227999030189,-0.0951266661278826,0,0,10.7049408227625,6.30290507117829e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04321032492958,0.0579561291627543,0,0,-6.89370153531152,-4.05890579737852e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71372115582392,-0.0396511753235512,0,0,4.90966841122688,2.89073750516448e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.525946636657916,0.0292192575921065,0,0,-3.72968302808133,-2.19598019837676e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408031918611764,-0.0226684399228758,0,0,2.96309876541301,1.74462713471631e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
