"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310"
0,-0.492026070520916,0.984052141041833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579015035486019,-1.15803007097204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45668635706794,0.913372714135879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364166085778817,-0.728332171557634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299089008679144,0.598178017358288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252037568898941,-0.504075137797882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216796121808499,0.433592243616998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189560732365079,-0.379121464730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.492026070520916,0,0,0.93468663713141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.771727337131,0,0,-1.48170411894759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.2353465194917,0,0,1.22404375135552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9017535430161,0,0,-0.996848237739045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41889002646545,0,0,0.828942533151364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51766055153084,0,0,-0.704382532220953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.074773963256,0,0,0.609576172785599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818467688945944,0,0,-0.535492930932718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683028738547398,0.0683028738547398,0.0683028738547398,0.0683028738547398,0.0683028738547398,-0.100554444294904,-0.100554444294904,-0.100554444294904,-0.100554444294904,-0.100554444294904,0.140806446453495,0.140806446453495,0.140806446453495,0.140806446453495,0.140806446453495,-0.194116422970339,-0.194116422970339,-0.194116422970339,-0.194116422970339,-0.194116422970339,0.268611951957808,0.268611951957808,0.268611951957808,0.268611951957808,0.268611951957808,-0.377657202314966,-0.377657202314966,-0.377657202314966,-0.377657202314966,-0.377657202314966,0.5323365847993,0.5323365847993,0.5323365847993,0.5323365847993,0.5323365847993,-0.654011392205443,-0.654011392205443,-0.654011392205443,-0.654011392205443,-0.654011392205443,0.540725363046962,0.540725363046962,0.540725363046962,0.540725363046962,0.540725363046962,-0.458515247209121,-0.458515247209121,-0.458515247209121,-0.458515247209121,-0.458515247209121,0.396444706782009,0.396444706782009,0.396444706782009,0.396444706782009,0.396444706782009,-0.348103504073489,-0.348103504073489,-0.348103504073489,-0.348103504073489,-0.348103504073489,0.30949014689152,0.30949014689152,0.30949014689152,0.30949014689152,0.30949014689152,-0.278002739590911,-0.278002739590911,-0.278002739590911,-0.278002739590911,-0.278002739590911
0.984052141041833,0,0,-0.200289993671017,1.0556209542352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5434546742621,0,0,0.317508025488769,-1.67341422654551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4706930389835,0,0,-0.262295089576182,1.38241650356437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.80350708603219,0,0,0.213610336658367,-1.125825325993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83778005293091,0,0,-0.17763054281815,0.936195162195695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03532110306169,0,0,0.150939114047347,-0.795518980662556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14954792651201,0,0,-0.130623465596914,0.688446111918157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63693537789189,0,0,0.114748485199868,-0.604777618809509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13660574770948,-0.13660574770948,-0.13660574770948,-0.13660574770948,-0.13660574770948,0.201108888589808,0.201108888589808,0.201108888589808,0.201108888589808,0.201108888589808,-0.281612892906989,-0.281612892906989,-0.281612892906989,-0.281612892906989,-0.281612892906989,0.388232845940677,0.388232845940677,0.388232845940677,0.388232845940677,0.388232845940677,-0.537223903915616,-0.537223903915616,-0.537223903915616,-0.537223903915616,-0.537223903915616,0.755314404629932,0.755314404629932,0.755314404629932,0.755314404629932,0.755314404629932,-1.0646731695986,-1.0646731695986,-1.0646731695986,-1.0646731695986,-1.0646731695986,1.30802278441089,1.30802278441089,1.30802278441089,1.30802278441089,1.30802278441089,-1.08145072609392,-1.08145072609392,-1.08145072609392,-1.08145072609392,-1.08145072609392,0.917030494418242,0.917030494418242,0.917030494418242,0.917030494418242,0.917030494418242,-0.792889413564017,-0.792889413564017,-0.792889413564017,-0.792889413564017,-0.792889413564017,0.696207008146979,0.696207008146979,0.696207008146979,0.696207008146979,0.696207008146979,-0.618980293783039,-0.618980293783039,-0.618980293783039,-0.618980293783039,-0.618980293783039,0.556005479181822,0.556005479181822,0.556005479181822,0.556005479181822,0.556005479181822
0,0.93468663713141,-0.200289993671017,0,0,109.254660869429,-2.01376832988653e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3886041821295,-19.3689866104563,0,0,36.6383442500327,-6.75313407437809e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3092948835614,-10.7805631893346,0,0,-14.0991062160698,2.59872973397078e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.5223872169527,2.4690829750613,0,0,8.06069953324346,-1.48573811932622e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57069624184923,-1.19372062325341,0,0,-5.44382616430486,1.00339927247464e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45095175684533,0.739489662181143,0,0,4.02967293623372,-7.42744307127222e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42149818507358,-0.518892468230053,0,0,-3.16048220801705,5.82536152419241e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.83096343038096,0.392349306510206,0,0,2.57900754212317,-4.75359464716382e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.0556209542352,0,0,-11.5164524445556,114.007062662607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.083522763911,0,0,-3.8620205842479,38.2320532188521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8185568961106,0,0,1.48617628718063,-14.7123946298569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.013209888564,0,0,-0.849672335310183,8.41132698118217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2914600989942,0,0,0.573829662174046,-5.68062383516955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.89745273106815,0,0,-0.4247648234679,4.20495721917123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73480343385588,0,0,0.333144076059065,-3.29795809410889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06786241159963,0,0,-0.271851264528729,2.69119021671363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,109.254660869429,-11.5164524445556,0,0,110.313939877346,6.49511569084185e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5623194529015,-1.95664027089398,0,0,44.0066094395014,2.59104171049512e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.23222685011994,0.656934391374528,0,0,-16.4756537378197,-9.70061238211343e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29711894083573,-0.347546852317429,0,0,9.29066886798162,5.47020342215478e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11198511491758,0.2226227782504,0,0,-6.21591893303527,-3.65983779020564e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50356402715864,-0.158489564457219,0,0,4.56863622147903,2.68994297918016e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14429796444702,0.120619596318232,0,0,-3.56298443173404,-2.09783062000249e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911671706674836,-0.0960986357141805,0,0,2.89399914249948,1.7039423359034e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.01376832988653e-14,114.007062662607,0,0,-7.09124863151603,112.570082183511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42138365045709e-15,19.3697504544854,0,0,-2.82885199560903,44.9066332571416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14871630698108e-15,-6.5033186810982,0,0,1.05909513477216,-16.8126140481934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.07720865186624e-16,3.44053830475171,0,0,-0.597226814391687,9.4806817630784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89278471395893e-16,-2.20385306606426,0,0,0.39957440262319,-6.34304699764893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77135052706568e-16,1.56896664085003,0,0,-0.293683059362028,4.66207403606728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10915578559251e-16,-1.19407308300848,0,0,0.229037313903749,-3.63585464126134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.68038195857794e-16,0.951327957667818,0,0,-0.186033310764494,2.95318725514108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,110.313939877346,-7.09124863151603,0,0,108.18426830769,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5493533805373,-0.999550292585809,0,0,48.8264443312454,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.15504408270987,0.331378784381794,0,0,-18.0849720523011,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68533666181469,-0.172619978485274,0,0,10.1034324172412,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69763446346377,0.109128076462838,0,0,-6.70657837677389,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19555054570713,-0.0768528998291624,0,0,4.89658283332001,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.901759360004338,0.0579672871325008,0,0,-3.79727904553199,-2.19096994803051e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713079656198986,-0.045838496402225,0,0,3.06951461061389,1.77106138007127e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.49511569084185e-15,112.570082183511,0,0,-4.71805499524671,109.411866013373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1552209300715e-16,15.8673689825034,0,0,-2.12938399622002,49.3804919018887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03521093941695e-16,-5.26047511942273,0,0,0.788708876669377,-18.2901873811658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58108506565337e-16,2.74025720636013,0,0,-0.440623674134643,10.2180789425535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99541150757301e-17,-1.73235450825306,0,0,0.292482503292971,-6.78267983179225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03921835921261e-17,1.22000196289273,0,0,-0.21354627117021,4.95214575338132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.30942089008869e-17,-0.920202155578029,0,0,0.165604219997709,-3.84036785240801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19850371489567e-17,0.727663571720497,0,0,-0.133865477560938,3.104345267164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,108.18426830769,-4.71805499524671,0,0,103.926433915688,1.18582230799832e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7047073532961,-0.597679902984718,0,0,53.5930521721173,6.11507914059402e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.40035553523014,0.191905160876134,0,0,-19.4900800130386,-2.22385881948794e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24116420314431,-0.097740051573298,0,0,10.7258279320293,1.2238393596638e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39304141427261,0.0607523266183357,0,0,-7.03241010081444,-8.02412674267627e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968127529661922,-0.0422212859485838,0,0,5.08233361520891,5.79904876029306e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.722484610375095,0.0315084825020423,0,0,-3.90784575744947,-4.45893359446895e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566341883633973,-0.0246988974912424,0,0,3.13622923567968,3.57850303386971e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
