"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280"
0,-0.333816656118361,0.817680475132104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529180042481282,-1.29622108614347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43715848262697,1.07081521916542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356017227763945,-0.872060547661885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296050904696916,0.725173654396775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251565190078912,-0.616206352739595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217705775994857,0.533268065244054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191247475333114,-0.468458729161641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.333816656118361,0,0,84.6282964085672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.2816443507606,0,0,28.3799394225981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.9676053155576,0,0,-10.9211207142496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11513829176882,0,0,6.24379101020677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98953437208901,0,0,-4.21676961480018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2324827703019,0,0,3.12137123453919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.86482078038342,0,0,-2.44809899152698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653915510850343,0,0,1.99769065207727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121176353988741,0.121176353988741,0.121176353988741,0.121176353988741,-0.154512008439501,-0.154512008439501,-0.154512008439501,-0.154512008439501,0.195610618846311,0.195610618846311,0.195610618846311,0.195610618846311,-0.248651880073537,-0.248651880073537,-0.248651880073537,-0.248651880073537,0.319841399507564,0.319841399507564,0.319841399507564,0.319841399507564,-0.417088834996709,-0.417088834996709,-0.417088834996709,-0.417088834996709,0.532324355922235,0.532324355922235,0.532324355922235,0.532324355922235,-0.519565636236875,-0.519565636236875,-0.519565636236875,-0.519565636236875,0.427578643627238,0.427578643627238,0.427578643627238,0.427578643627238,-0.361183248653137,-0.361183248653137,-0.361183248653137,-0.361183248653137,0.311291019126557,0.311291019126557,0.311291019126557,0.311291019126557,-0.272593298162044,-0.272593298162044,-0.272593298162044,-0.272593298162044,0.241800697448375,0.241800697448375,0.241800697448375,0.241800697448375,-0.216777264127931,-0.216777264127931,-0.216777264127931,-0.216777264127931
0.817680475132104,0,0,-19.1940874075926,100.544778503405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0735567173625,0,0,-6.43670097374649,33.717501642823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0114649228349,0,0,2.47696047863438,-12.9751124602812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.079989035822,0,0,-1.41612055885031,7.41809312941856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8733440373466,0,0,0.956382770290076,-5.00983931985486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.01895390401151,0,0,-0.707941372446501,3.70842369186426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11836963089493,0,0,0.555240126765108,-2.90852565044155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60175933647474,0,0,-0.453085440881214,2.37340668139809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296820236163285,-0.296820236163285,-0.296820236163285,-0.296820236163285,0.378475579809386,0.378475579809386,0.378475579809386,0.378475579809386,-0.479146204443508,-0.479146204443508,-0.479146204443508,-0.479146204443508,0.609070229763882,0.609070229763882,0.609070229763882,0.609070229763882,-0.783448227411194,-0.783448227411194,-0.783448227411194,-0.783448227411194,1.02165482315383,1.02165482315383,1.02165482315383,1.02165482315383,-1.30392304966518,-1.30392304966518,-1.30392304966518,-1.30392304966518,1.27267069666484,1.27267069666484,1.27267069666484,1.27267069666484,-1.04734950179806,-1.04734950179806,-1.04734950179806,-1.04734950179806,0.884714662840966,0.884714662840966,0.884714662840966,0.884714662840966,-0.762504158371023,-0.762504158371023,-0.762504158371023,-0.762504158371023,0.667714487799363,0.667714487799363,0.667714487799363,0.667714487799363,-0.592288328197612,-0.592288328197612,-0.592288328197612,-0.592288328197612,0.530993684949966,0.530993684949966,0.530993684949966,0.530993684949966
0,84.6282964085672,-19.1940874075926,0,0,97.2877503530626,-2.59804627633674e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3783108216139,-3.26106711815663,0,0,38.8101815400227,-1.03641668419805e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.82746216006024,1.09489065229088,0,0,-14.5301608258275,3.88024495284537e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55393734966437,-0.579244753862382,0,0,8.19359977937645,-2.18808136886191e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63593663550275,0.371037963750667,0,0,-5.48192522218309,1.46393511608226e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1646556874284,-0.264149274095366,0,0,4.02915842425178,-1.07597719167207e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886369391880468,0.201032660530386,0,0,-3.14225691052102,8.39132248000998e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706177867432026,-0.160164392856967,0,0,2.55226734182927,-6.81576934361362e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100.544778503405,0,0,-11.8187477191934,104.219644718542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0825142199829,0,0,-4.71475332601505,41.5754636825763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.73538797559547,0,0,1.7651585579536,-15.5654560155359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03426957685493,0,0,-0.995378023986143,8.77740573580505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94361571297774,0,0,0.665957337705315,-5.87252040422531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38369851568186,0,0,-0.48947176560338,4.31624184921883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05307347495887,0,0,0.381728856506248,-3.36614730673107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83899239708401,0,0,-0.310055517940823,2.73412011920174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,97.2877503530626,-11.8187477191934,0,0,100.159170078446,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7132406975877,-1.66591715430968,0,0,45.2045035622925,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.54632154680847,0.552297973969656,0,0,-16.7434306298452,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36824433121535,-0.287699964142123,0,0,9.35396080857547,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49717286913923,0.181880127438063,0,0,-6.20908506191724,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05437647458287,-0.128088166381937,0,0,4.53335480728889,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.795277002998748,0.0966121452208345,0,0,-3.51559726479864,-2.19096994803051e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628877145093985,-0.0763974940037082,0,0,2.84181832305185,1.77106138007127e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-2.59804627633674e-14,104.219644718542,0,0,-7.86342499207787,103.797209895428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6620883720286e-15,14.6903291345092,0,0,-3.54897332703338,46.8464479168405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21408437576678e-15,-4.87025359991498,0,0,1.31451479444896,-17.3515952867263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.32434026261347e-16,2.53698520019479,0,0,-0.734372790224407,9.69372083096216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99816460302921e-16,-1.60384862367228,0,0,0.48747083882162,-6.43461507244538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81568734368505e-16,1.12950233900806,0,0,-0.355910451950352,4.69801796574463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12376835603548e-16,-0.851941651488168,0,0,0.276007033329516,-3.6432928399496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.67940148595827e-16,0.673685560571122,0,0,-0.223109129268231,2.94504050634065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100.159170078446,-7.86342499207787,0,0,98.5932720817633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6880935291822,-0.9961331716412,0,0,50.8428334872375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07393760066147,0.319841934793557,0,0,-18.4899133860378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07491486616174,-0.162900085955497,0,0,10.1754138168798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28970574114917,0.101253877697226,0,0,-6.67153000768439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896311926104154,-0.0703688099143065,0,0,4.82152501586938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.668890774061604,0.0525141375034039,0,0,-3.70730800144988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52433069921138,-0.0411648291520708,0,0,2.97528829474704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.24206116721167e-15,103.797209895428,0,0,-5.47740400454241,100.700847387667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90739937665493e-16,13.1489578656638,0,0,-2.82460186040209,51.9296733707037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53893554377652e-16,-4.22191353927495,0,0,1.02721741033544,-18.8851623116278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29311629690965e-16,2.15028113461256,0,0,-0.565300767604436,10.3929281607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.03762862417087e-17,-1.33655118560339,0,0,0.370640555982467,-6.81414371346681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58594271823688e-17,0.928868290868845,0,0,-0.267862500881633,4.92459216077374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16862192708464e-17,-0.69318661504493,0,0,0.205961555636104,-3.78655712900451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26770309075137e-17,0.543375744807333,0,0,-0.165293794152614,3.03888943106752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,98.5932720817633,-5.47740400454241,0,0,94.1965026053682,5.54614568906532e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1635457974636,-0.62019698874798,0,0,56.2705991874998,3.31312662862166e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45238128510337,0.191798960283521,0,0,-19.8927601952669,-1.17125522868725e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71227999030189,-0.0951266661278826,0,0,10.7049408227625,6.30290507117829e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04321032492958,0.0579561291627543,0,0,-6.89370153531152,-4.05890579737852e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71372115582392,-0.0396511753235512,0,0,4.90966841122688,2.89073750516448e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.525946636657916,0.0292192575921065,0,0,-3.72968302808133,-2.19598019837676e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408031918611764,-0.0226684399228758,0,0,2.96309876541301,1.74462713471631e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
