"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
0,-26.8717223706296,76.0047084417378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.01138136324509,25.4880354792347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46774467008813,-9.80826308657129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98256878239043,5.60755132078811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33893587840611,-3.7870825567797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9911179214251,2.80330481278082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777336177471151,-2.19863872940592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6343196172337,1.79412681114242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26.8717223706296,0,0,73.5426265848971,3.24755784542092e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.56549396541927,0,0,29.3377396263342,1.29552085524756e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53284691320723,0,0,-10.9837691585464,-4.85030619105671e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.810942655407334,0,0,6.19377924532108,2.73510171107739e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519453149250933,0,0,-4.14394595535684,-1.82991889510282e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369808983733512,0,0,3.04575748098602,1.34497148959008e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281445724742541,0,0,-2.37532295448936,-1.04891531000125e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224230149999754,0,0,1.92933276166632,8.51971167951702e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201564055588869,-0.201564055588869,-0.201564055588869,0.315396211001984,0.315396211001984,0.315396211001984,-0.489785325294841,-0.489785325294841,-0.489785325294841,0.7825193608421,0.7825193608421,0.7825193608421,-1.34410898787595,-1.34410898787595,-1.34410898787595,2.69268073514549,2.69268073514549,2.69268073514549,-7.95172823342538,-7.95172823342538,-7.95172823342538,0.184679367397048,0.184679367397048,0.184679367397048,-0.155970426756802,-0.155970426756802,-0.155970426756802,0.134327565946884,0.134327565946884,0.134327565946884,-0.117512085710097,-0.117512085710097,-0.117512085710097,0.104122154789678,0.104122154789678,0.104122154789678,-0.0932400009673447,-0.0932400009673447,-0.0932400009673447,0.0842427985009611,0.0842427985009611,0.0842427985009611
76.0047084417378,0,0,-16.5462468068707,90.2568598996465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9131669696569,0,0,-6.60065465642108,36.0054077232284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3355457873988,0,0,2.47122198113504,-13.4800803309434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29369220316781,0,0,-1.3935292335806,7.60145634653042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46923537737617,0,0,0.932340272787443,-5.08575185430158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04597776056669,0,0,-0.685260471844733,3.73797509030103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.796048722005652,0,0,0.534420399108748,-2.91516908050967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634218638445212,0,0,-0.434077725117153,2.36781748022685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570109242201407,0.570109242201407,0.570109242201407,-0.892075198240186,-0.892075198240186,-0.892075198240186,1.38532209936657,1.38532209936657,1.38532209936657,-2.21329898584485,-2.21329898584485,-2.21329898584485,3.80171431992349,3.80171431992349,3.80171431992349,-7.616051229567,-7.616051229567,-7.616051229567,22.4908838240304,22.4908838240304,22.4908838240304,-0.522352132126777,-0.522352132126777,-0.522352132126777,0.441150985697178,0.441150985697178,0.441150985697178,-0.379935731125299,-0.379935731125299,-0.379935731125299,0.332374370707937,0.332374370707937,0.332374370707937,-0.294501926894146,-0.294501926894146,-0.294501926894146,0.263722547847399,0.263722547847399,0.263722547847399,-0.238274616344646,-0.238274616344646,-0.238274616344646
0,73.5426265848971,-16.5462468068707,0,0,86.7403857099004,-1.24841223344233e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3662355870249,-2.33228401603355,0,0,39.1482484504095,-5.63441721907778e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.43669605513991,0.77321716355752,0,0,-14.5002362719485,2.08694856514093e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7902244412098,-0.402779949798973,0,0,8.10076768623039,-1.16590413992246e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13175630897584,0.254632178413288,0,0,-5.3772253978788,7.73917929203134e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797033697138084,-0.179323432934712,0,0,3.92600042748049,-5.65050169197836e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.601172906669559,0.135257003309169,0,0,-3.04459654079071,4.38193989606102e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47538643746599,-0.106956491605192,0,0,2.461086860703,-3.54212276014254e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.24755784542092e-15,90.2568598996465,0,0,-11.008794988909,94.7534554430403,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57761046503575e-16,12.7221982204396,0,0,-4.96856265784671,42.7647604384074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51760546970847e-16,-4.21776334039899,0,0,1.84032071222854,-15.8397669120672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90542532826684e-17,2.19709363239384,0,0,-1.02812190631417,8.84911594212616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.99770575378651e-17,-1.3889736519249,0,0,0.682459174350267,-5.87397304006845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51960917960631e-17,0.978177719214921,0,0,-0.498274632730491,4.28868402567145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.65471044504435e-17,-0.737803112730822,0,0,0.386409846661321,-3.32585612006242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09925185744784e-17,0.583428809617352,0,0,-0.312352780975523,2.68844186348201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,86.7403857099004,-11.008794988909,0,0,90.0029318957102,-1.18582230799832e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9882113218647,-1.39458644029768,0,0,46.4129446473984,-6.11507914059402e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.52813345560545,0.447778708710979,0,0,-16.8789044130828,2.22385881948794e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79692898478605,-0.228060120337695,0,0,9.28883946575806,-1.2238393596638e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11691793524181,0.141755428776117,0,0,-6.0902457971356,8.02412674267627e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776228897721158,-0.0985163338800289,0,0,4.40143002127853,-5.79904876029306e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.579276402694386,0.0735197925047652,0,0,-3.38429370002249,4.45893359446895e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454083705501112,-0.0576307608128989,0,0,2.71605419019006,-3.57850303386971e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.24841223344233e-14,94.7534554430403,0,0,-7.66836560635937,94.4657683229379,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58147987533099e-15,12.0033013845151,0,0,-3.95444260456292,48.7143516760864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07787108755304e-16,-3.8540621354956,0,0,1.43810437446961,-17.7158525866565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5862325938193e-16,1.96292913734183,0,0,-0.79142107464621,9.7494308071878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60752572483417e-16,-1.22009872269208,0,0,0.518896778375453,-6.39223341266929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11718854364738e-16,0.847936859766893,0,0,-0.375007501234286,4.61967693631921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33724385416928e-17,-0.63278990936793,0,0,0.288346177890546,-3.5521054466709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.53540618150273e-17,0.496031921053578,0,0,-0.231411311813659,2.85073097596799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,90.0029318957102,-7.66836560635937,0,0,88.3641520680936,5.54614568906532e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1908764250214,-0.868275784247171,0,0,52.7865010487514,3.31312662862166e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15157851159965,0.268518544396929,0,0,-18.6610631852536,-1.17125522868725e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56309062575512,-0.133177332579036,0,0,10.0421246286125,6.30290507117829e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.952316378643705,0.0811385808278559,0,0,-6.46686526494882,-4.05890579737852e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651535294689035,-0.0555116454529716,0,0,4.60567721830517,2.89073750516448e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480121394902524,0.040906960628949,0,0,-3.49875281081173,-2.19598019837676e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372480476676292,-0.0317358158920261,0,0,2.77963302944131,1.74462713471631e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-1.18582230799832e-14,94.4657683229379,0,0,-5.4852811799316,91.0474399677429,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34268610458683e-15,10.6961956804836,0,0,-3.27676771609859,54.3894291164568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15232262521565e-16,-3.30785096949172,0,0,1.15840164016632,-19.2277296882151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0594303923246e-16,1.6405971873387,0,0,-0.623373573362734,10.3470662918557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25471246578546e-16,-0.999537420617997,0,0,0.401436255548991,-6.66323970987903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.58422132054278e-17,0.683841969433053,0,0,-0.285901397514017,4.74553436241091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32577904553595e-17,-0.503928433245954,0,0,0.217188107362692,-3.60499681204292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.90756966726821e-17,0.390950090995837,0,0,-0.172548124852273,2.86404005988073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,88.3641520680936,-5.4852811799316,0,0,83.3514018264596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87146634262918,-0.550703947570515,0,0,58.8543210845832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62390675174905,0.162881281451933,0,0,-19.9500389524173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26082837612178,-0.0782670121401159,0,0,10.3957972763056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750019859566964,0.0465581315948949,0,0,-6.52756747172928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503612251437741,-0.0312621661628764,0,0,4.55560744134139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.365564516555544,0.0226927336004728,0,0,-3.40388712860571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280122036328893,-0.0173888177275206,0,0,2.66739991124935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
