"Field","state1","state2","mat_elem1","mat_elem2"
12.35,"32,3,2.5,0.5","30,1,0.5,0.5",0.337853924512377,89.1097624902129
12.25,"32,3,3.5,0.5","30,1,0.5,0.5",-0.0746768057913621,-88.4118241411494
12.95,"29,27,26.5,0.5","31,2,1.5,0.5",-1.29767552292812,1354.78662562244
12,"29,28,27.5,0.5","31,2,1.5,0.5",-0.96052130637419,1340.73472597766
12.1,"29,28,28.5,0.5","31,2,1.5,0.5",-7.61012554934112,1342.25588048617
12.65,"29,27,26.5,0.5","31,2,2.5,0.5",-1.2568011966456,982.037571094089
12.7,"29,27,27.5,0.5","31,2,2.5,0.5",-10.3535585932586,980.741440571083
11.7,"29,28,27.5,0.5","31,2,2.5,0.5",0.927179873447163,1006.65326786567
11.8,"29,28,28.5,0.5","31,2,2.5,0.5",7.36023955660504,-1004.06743380297
11.5,"33,0,0.5,0.5","32,0,0.5,0.5",-938.53891043745,-963.187460194412
12.2,"29,28,27.5,0.5","31,2,1.5,1.5",-0.982840044156411,-1452.08623396524
12.3,"29,28,28.5,0.5","31,2,1.5,1.5",7.77688411776112,1453.74403961356
12.7,"29,27,26.5,0.5","31,2,2.5,1.5",-1.26360176159615,-837.636354233305
12.8,"29,27,27.5,0.5","31,2,2.5,1.5",-10.459894009405,-834.684448504145
11.75,"29,28,27.5,0.5","31,2,2.5,1.5",-0.932725192453228,866.911807054619
11.85,"29,28,28.5,0.5","31,2,2.5,1.5",7.40186405119475,-863.726291568003
12,"29,28,27.5,0.5","31,2,2.5,2.5",-0.96052130637419,-1190.89576676583
12.1,"29,28,28.5,0.5","31,2,2.5,2.5",-7.61012554934112,-1190.82141664991
12.75,"32,3,2.5,1.5","30,1,0.5,0.5",0.171002738299593,91.895638166825
12.35,"32,3,3.5,1.5","30,1,0.5,0.5",-0.710650082808607,89.1097624902129
12.1,"29,28,27.5,1.5","31,2,1.5,0.5",-2.43540691897185,1342.25588048617
12.35,"29,28,28.5,1.5","31,2,1.5,0.5",3.85538361873204,1346.01740436768
12.7,"29,27,26.5,1.5","31,2,2.5,0.5",3.31355768682104,980.741440571083
12.95,"29,27,27.5,1.5","31,2,2.5,0.5",-6.06774257049973,974.265048399034
11.8,"29,28,27.5,1.5","31,2,2.5,0.5",-2.3554681866686,-1004.06743380297
12.05,"29,28,28.5,1.5","31,2,2.5,0.5",3.73497332865376,997.594373341213
12.3,"29,28,27.5,1.5","31,2,1.5,1.5",-2.48875185927386,1453.74403961356
12.6,"29,28,28.5,1.5","31,2,1.5,1.5",3.95572276266386,1458.57394915277
12.8,"29,27,26.5,1.5","31,2,2.5,1.5",3.3475817056135,-834.684448504145
11.85,"29,28,27.5,1.5","31,2,2.5,1.5",-2.36878405394152,-863.726291568003
12.1,"29,28,28.5,1.5","31,2,2.5,1.5",3.75504092277722,855.868473812706
12.1,"29,28,27.5,1.5","31,2,2.5,2.5",-2.43540691897185,-1190.82141664991
12.35,"29,28,28.5,1.5","31,2,2.5,2.5",3.85538361873204,-1190.63264951093
12.75,"32,3,3.5,2.5","30,1,0.5,0.5",-0.836165198243489,91.895638166825
12.35,"29,28,27.5,2.5","31,2,1.5,0.5",-2.88234755930297,1346.01740436768
12.7,"29,28,28.5,2.5","31,2,1.5,0.5",0.000156970466424733,1351.17890520583
12.95,"29,27,26.5,2.5","31,2,2.5,0.5",4.53647145274891,974.265048399034
12.05,"29,28,27.5,2.5","31,2,2.5,0.5",-2.79234671679595,997.594373341213
12.4,"29,28,28.5,2.5","31,2,2.5,0.5",-0.000155051357496958,988.520287423517
12.6,"29,28,27.5,2.5","31,2,1.5,1.5",-2.95734516692161,1458.57394915277
12.1,"29,28,27.5,2.5","31,2,2.5,1.5",-2.80734636192442,855.868473812706
12.5,"29,28,28.5,2.5","31,2,2.5,1.5",-0.000155699241165061,843.614729778065
12.35,"29,28,27.5,2.5","31,2,2.5,2.5",-2.88234755930297,-1190.63264951093
12.75,"29,28,28.5,2.5","31,2,2.5,2.5",-0.000157283243932158,-1190.32199199313
