"Field","state1","state2","mat_elem1","mat_elem2"
11.3,"28,18,17.5,0.5","31,3,2.5,0.5",-1.53435832395422,-0.334393213104495
11.3,"28,18,18.5,0.5","31,3,2.5,0.5",-13.8476206106914,-0.334393213104495
11.15,"28,18,17.5,0.5","31,3,3.5,0.5",-1.50854350726143,-0.337873143548423
11.1,"28,18,18.5,0.5","31,3,3.5,0.5",13.549210912738,-0.338331081745597
11.45,"28,17,16.5,0.5","31,4,3.5,0.5",-1.63571924887296,-3.55796316648791
11.45,"28,17,17.5,0.5","31,4,3.5,0.5",14.881430901133,-3.55796316648791
11.35,"28,17,16.5,0.5","31,4,4.5,0.5",1.61756001989112,-0.361761902528181
11.3,"28,17,17.5,0.5","31,4,4.5,0.5",-14.6489634764042,-0.361567696084507
10.9,"28,26,25.5,0.5","34,0,0.5,0.5",0.692692898864983,-131.330949200763
10.95,"28,26,26.5,0.5","34,0,0.5,0.5",-5.7838941539881,-131.300023743614
11.45,"31,14,13.5,0.5","28,6,6.5,0.5",3.28997242572139,2.42497727999616
11.45,"31,14,14.5,0.5","28,6,6.5,0.5",0.302163823487698,2.42497727999616
11.4,"31,13,12.5,0.5","28,7,6.5,0.5",-3.32134581991951,-20.8188861558153
11.4,"31,13,13.5,0.5","28,7,6.5,0.5",-0.339282664562945,-20.8188861558153
11.35,"31,13,12.5,0.5","28,7,7.5,0.5",3.306137054781,2.30263317570215
11.35,"31,13,13.5,0.5","28,7,7.5,0.5",-0.338028350500228,2.30263317570215
11.3,"31,12,11.5,0.5","28,8,7.5,0.5",3.33605035430567,19.8690457674568
11.3,"31,12,12.5,0.5","28,8,7.5,0.5",-0.351140051845531,19.8690457674568
11.25,"31,12,11.5,0.5","28,8,8.5,0.5",-3.32070005736107,2.20672339545217
11.25,"31,12,12.5,0.5","28,8,8.5,0.5",0.349700791887565,2.20672339545217
11.2,"31,11,10.5,0.5","28,9,8.5,0.5",-3.34907049831684,-19.0606297409485
11.2,"31,11,11.5,0.5","28,9,8.5,0.5",-0.356595319095595,-19.0606297409485
11.2,"31,11,10.5,0.5","28,9,9.5,0.5",-3.34907049831684,-2.13851693469566
11.15,"31,11,11.5,0.5","28,9,9.5,0.5",-0.355079834647379,-2.12867270823695
