"index","Voltage","state"
240,11.95,"33,28,27.5,0.5,28,2,1.5,0.5"
241,12,"33,28,27.5,1.5,28,2,1.5,0.5"
245,12.2,"33,28,27.5,2.5,28,2,1.5,0.5"
251,12.5,"33,28,27.5,3.5,28,2,1.5,0.5"
241,12,"33,28,28.5,0.5,28,2,1.5,0.5"
245,12.2,"33,28,28.5,1.5,28,2,1.5,0.5"
251,12.5,"33,28,28.5,2.5,28,2,1.5,0.5"
222,11.05,"33,29,28.5,0.5,28,2,1.5,0.5"
223,11.1,"33,29,28.5,1.5,28,2,1.5,0.5"
226,11.25,"33,29,28.5,2.5,28,2,1.5,0.5"
232,11.55,"33,29,28.5,3.5,28,2,1.5,0.5"
223,11.1,"33,29,29.5,0.5,28,2,1.5,0.5"
226,11.25,"33,29,29.5,1.5,28,2,1.5,0.5"
232,11.55,"33,29,29.5,2.5,28,2,1.5,0.5"
241,12,"33,29,29.5,3.5,28,2,1.5,0.5"
205,10.2,"33,30,29.5,0.5,28,2,1.5,0.5"
207,10.3,"33,30,29.5,1.5,28,2,1.5,0.5"
210,10.45,"33,30,29.5,2.5,28,2,1.5,0.5"
216,10.75,"33,30,29.5,3.5,28,2,1.5,0.5"
207,10.3,"33,30,30.5,0.5,28,2,1.5,0.5"
210,10.45,"33,30,30.5,1.5,28,2,1.5,0.5"
216,10.75,"33,30,30.5,2.5,28,2,1.5,0.5"
223,11.1,"33,30,30.5,3.5,28,2,1.5,0.5"
208,10.35,"33,31,31.5,3.5,28,2,1.5,0.5"
242,12.05,"33,28,27.5,0.5,28,2,1.5,1.5"
243,12.1,"33,28,27.5,1.5,28,2,1.5,1.5"
247,12.3,"33,28,27.5,2.5,28,2,1.5,1.5"
253,12.6,"33,28,27.5,3.5,28,2,1.5,1.5"
243,12.1,"33,28,28.5,0.5,28,2,1.5,1.5"
246,12.25,"33,28,28.5,1.5,28,2,1.5,1.5"
253,12.6,"33,28,28.5,2.5,28,2,1.5,1.5"
223,11.1,"33,29,28.5,0.5,28,2,1.5,1.5"
224,11.15,"33,29,28.5,1.5,28,2,1.5,1.5"
228,11.35,"33,29,28.5,2.5,28,2,1.5,1.5"
234,11.65,"33,29,28.5,3.5,28,2,1.5,1.5"
224,11.15,"33,29,29.5,0.5,28,2,1.5,1.5"
228,11.35,"33,29,29.5,1.5,28,2,1.5,1.5"
234,11.65,"33,29,29.5,2.5,28,2,1.5,1.5"
243,12.1,"33,29,29.5,3.5,28,2,1.5,1.5"
207,10.3,"33,30,29.5,0.5,28,2,1.5,1.5"
208,10.35,"33,30,29.5,1.5,28,2,1.5,1.5"
211,10.5,"33,30,29.5,2.5,28,2,1.5,1.5"
217,10.8,"33,30,29.5,3.5,28,2,1.5,1.5"
208,10.35,"33,30,30.5,0.5,28,2,1.5,1.5"
211,10.5,"33,30,30.5,1.5,28,2,1.5,1.5"
217,10.8,"33,30,30.5,2.5,28,2,1.5,1.5"
225,11.2,"33,30,30.5,3.5,28,2,1.5,1.5"
203,10.1,"33,31,30.5,3.5,28,2,1.5,1.5"
203,10.1,"33,31,31.5,2.5,28,2,1.5,1.5"
209,10.4,"33,31,31.5,3.5,28,2,1.5,1.5"
253,12.6,"33,27,26.5,0.5,28,2,2.5,0.5"
254,12.65,"33,27,26.5,1.5,28,2,2.5,0.5"
258,12.85,"33,27,26.5,2.5,28,2,2.5,0.5"
254,12.65,"33,27,27.5,0.5,28,2,2.5,0.5"
258,12.85,"33,27,27.5,1.5,28,2,2.5,0.5"
233,11.6,"33,28,27.5,0.5,28,2,2.5,0.5"
234,11.65,"33,28,27.5,1.5,28,2,2.5,0.5"
237,11.8,"33,28,27.5,2.5,28,2,2.5,0.5"
244,12.15,"33,28,27.5,3.5,28,2,2.5,0.5"
234,11.65,"33,28,28.5,0.5,28,2,2.5,0.5"
237,11.8,"33,28,28.5,1.5,28,2,2.5,0.5"
244,12.15,"33,28,28.5,2.5,28,2,2.5,0.5"
253,12.6,"33,28,28.5,3.5,28,2,2.5,0.5"
215,10.7,"33,29,28.5,0.5,28,2,2.5,0.5"
216,10.75,"33,29,28.5,1.5,28,2,2.5,0.5"
219,10.9,"33,29,28.5,2.5,28,2,2.5,0.5"
225,11.2,"33,29,28.5,3.5,28,2,2.5,0.5"
216,10.75,"33,29,29.5,0.5,28,2,2.5,0.5"
