"index","Voltage","state"
256,12.75,"32,3,2.5,1.5,30,1,0.5,0.5"
248,12.35,"32,3,3.5,0.5,30,1,0.5,0.5"
248,12.35,"32,3,3.5,1.5,30,1,0.5,0.5"
256,12.75,"32,3,3.5,2.5,30,1,0.5,0.5"
260,12.95,"29,27,26.5,0.5,31,2,1.5,0.5"
241,12,"29,28,27.5,0.5,31,2,1.5,0.5"
243,12.1,"29,28,27.5,1.5,31,2,1.5,0.5"
248,12.35,"29,28,27.5,2.5,31,2,1.5,0.5"
255,12.7,"29,28,27.5,3.5,31,2,1.5,0.5"
243,12.1,"29,28,28.5,0.5,31,2,1.5,0.5"
248,12.35,"29,28,28.5,1.5,31,2,1.5,0.5"
255,12.7,"29,28,28.5,2.5,31,2,1.5,0.5"
245,12.2,"29,28,27.5,0.5,31,2,1.5,1.5"
247,12.3,"29,28,27.5,1.5,31,2,1.5,1.5"
253,12.6,"29,28,27.5,2.5,31,2,1.5,1.5"
247,12.3,"29,28,28.5,0.5,31,2,1.5,1.5"
253,12.6,"29,28,28.5,1.5,31,2,1.5,1.5"
254,12.65,"29,27,26.5,0.5,31,2,2.5,0.5"
255,12.7,"29,27,26.5,1.5,31,2,2.5,0.5"
260,12.95,"29,27,26.5,2.5,31,2,2.5,0.5"
255,12.7,"29,27,27.5,0.5,31,2,2.5,0.5"
260,12.95,"29,27,27.5,1.5,31,2,2.5,0.5"
235,11.7,"29,28,27.5,0.5,31,2,2.5,0.5"
237,11.8,"29,28,27.5,1.5,31,2,2.5,0.5"
242,12.05,"29,28,27.5,2.5,31,2,2.5,0.5"
249,12.4,"29,28,27.5,3.5,31,2,2.5,0.5"
237,11.8,"29,28,28.5,0.5,31,2,2.5,0.5"
242,12.05,"29,28,28.5,1.5,31,2,2.5,0.5"
249,12.4,"29,28,28.5,2.5,31,2,2.5,0.5"
258,12.85,"29,28,28.5,3.5,31,2,2.5,0.5"
255,12.7,"29,27,26.5,0.5,31,2,2.5,1.5"
257,12.8,"29,27,26.5,1.5,31,2,2.5,1.5"
257,12.8,"29,27,27.5,0.5,31,2,2.5,1.5"
236,11.75,"29,28,27.5,0.5,31,2,2.5,1.5"
238,11.85,"29,28,27.5,1.5,31,2,2.5,1.5"
243,12.1,"29,28,27.5,2.5,31,2,2.5,1.5"
251,12.5,"29,28,27.5,3.5,31,2,2.5,1.5"
238,11.85,"29,28,28.5,0.5,31,2,2.5,1.5"
243,12.1,"29,28,28.5,1.5,31,2,2.5,1.5"
251,12.5,"29,28,28.5,2.5,31,2,2.5,1.5"
260,12.95,"29,28,28.5,3.5,31,2,2.5,1.5"
241,12,"29,28,27.5,0.5,31,2,2.5,2.5"
243,12.1,"29,28,27.5,1.5,31,2,2.5,2.5"
248,12.35,"29,28,27.5,2.5,31,2,2.5,2.5"
256,12.75,"29,28,27.5,3.5,31,2,2.5,2.5"
243,12.1,"29,28,28.5,0.5,31,2,2.5,2.5"
248,12.35,"29,28,28.5,1.5,31,2,2.5,2.5"
256,12.75,"29,28,28.5,2.5,31,2,2.5,2.5"
