"index","Voltage","state"
260,12.95,"32,3,2.5,1.5,30,1,0.5,0.5"
252,12.55,"32,3,3.5,0.5,30,1,0.5,0.5"
252,12.55,"32,3,3.5,1.5,30,1,0.5,0.5"
260,12.95,"32,3,3.5,2.5,30,1,0.5,0.5"
256,12.75,"29,27,26.5,0.5,31,2,1.5,0.5"
257,12.8,"29,27,26.5,1.5,31,2,1.5,0.5"
257,12.8,"29,27,27.5,0.5,31,2,1.5,0.5"
237,11.8,"29,28,27.5,0.5,31,2,1.5,0.5"
239,11.9,"29,28,27.5,1.5,31,2,1.5,0.5"
244,12.15,"29,28,27.5,2.5,31,2,1.5,0.5"
251,12.5,"29,28,27.5,3.5,31,2,1.5,0.5"
239,11.9,"29,28,28.5,0.5,31,2,1.5,0.5"
244,12.15,"29,28,28.5,1.5,31,2,1.5,0.5"
251,12.5,"29,28,28.5,2.5,31,2,1.5,0.5"
260,12.95,"29,28,28.5,3.5,31,2,1.5,0.5"
242,12.05,"29,28,27.5,0.5,31,2,1.5,1.5"
244,12.15,"29,28,27.5,1.5,31,2,1.5,1.5"
249,12.4,"29,28,27.5,2.5,31,2,1.5,1.5"
257,12.8,"29,28,27.5,3.5,31,2,1.5,1.5"
244,12.15,"29,28,28.5,0.5,31,2,1.5,1.5"
249,12.4,"29,28,28.5,1.5,31,2,1.5,1.5"
257,12.8,"29,28,28.5,2.5,31,2,1.5,1.5"
250,12.45,"29,27,26.5,0.5,31,2,2.5,0.5"
251,12.5,"29,27,26.5,1.5,31,2,2.5,0.5"
255,12.7,"29,27,26.5,2.5,31,2,2.5,0.5"
251,12.5,"29,27,27.5,0.5,31,2,2.5,0.5"
255,12.7,"29,27,27.5,1.5,31,2,2.5,0.5"
232,11.55,"29,28,27.5,0.5,31,2,2.5,0.5"
233,11.6,"29,28,27.5,1.5,31,2,2.5,0.5"
238,11.85,"29,28,27.5,2.5,31,2,2.5,0.5"
245,12.2,"29,28,27.5,3.5,31,2,2.5,0.5"
233,11.6,"29,28,28.5,0.5,31,2,2.5,0.5"
238,11.85,"29,28,28.5,1.5,31,2,2.5,0.5"
245,12.2,"29,28,28.5,2.5,31,2,2.5,0.5"
253,12.6,"29,28,28.5,3.5,31,2,2.5,0.5"
251,12.5,"29,27,26.5,0.5,31,2,2.5,1.5"
253,12.6,"29,27,26.5,1.5,31,2,2.5,1.5"
257,12.8,"29,27,26.5,2.5,31,2,2.5,1.5"
253,12.6,"29,27,27.5,0.5,31,2,2.5,1.5"
257,12.8,"29,27,27.5,1.5,31,2,2.5,1.5"
233,11.6,"29,28,27.5,0.5,31,2,2.5,1.5"
235,11.7,"29,28,27.5,1.5,31,2,2.5,1.5"
240,11.95,"29,28,27.5,2.5,31,2,2.5,1.5"
247,12.3,"29,28,27.5,3.5,31,2,2.5,1.5"
235,11.7,"29,28,28.5,0.5,31,2,2.5,1.5"
240,11.95,"29,28,28.5,1.5,31,2,2.5,1.5"
247,12.3,"29,28,28.5,2.5,31,2,2.5,1.5"
255,12.7,"29,28,28.5,3.5,31,2,2.5,1.5"
257,12.8,"29,27,26.5,0.5,31,2,2.5,2.5"
258,12.85,"29,27,26.5,1.5,31,2,2.5,2.5"
258,12.85,"29,27,27.5,0.5,31,2,2.5,2.5"
238,11.85,"29,28,27.5,0.5,31,2,2.5,2.5"
239,11.9,"29,28,27.5,1.5,31,2,2.5,2.5"
245,12.2,"29,28,27.5,2.5,31,2,2.5,2.5"
252,12.55,"29,28,27.5,3.5,31,2,2.5,2.5"
239,11.9,"29,28,28.5,0.5,31,2,2.5,2.5"
245,12.2,"29,28,28.5,1.5,31,2,2.5,2.5"
252,12.55,"29,28,28.5,2.5,31,2,2.5,2.5"
206,10.25,"33,0,0.5,0.5,32,0,0.5,0.5"
202,10.05,"32,1,1.5,0.5,32,1,1.5,0.5"
203,10.1,"32,1,1.5,0.5,32,1,1.5,0.5"
204,10.15,"32,1,1.5,0.5,32,1,1.5,0.5"
205,10.2,"32,1,1.5,0.5,32,1,1.5,0.5"
206,10.25,"32,1,1.5,0.5,32,1,1.5,0.5"
207,10.3,"32,1,1.5,0.5,32,1,1.5,0.5"
208,10.35,"32,1,1.5,0.5,32,1,1.5,0.5"
209,10.4,"32,1,1.5,0.5,32,1,1.5,0.5"
210,10.45,"32,1,1.5,0.5,32,1,1.5,0.5"
211,10.5,"32,1,1.5,0.5,32,1,1.5,0.5"
212,10.55,"32,1,1.5,0.5,32,1,1.5,0.5"
213,10.6,"32,1,1.5,0.5,32,1,1.5,0.5"
214,10.65,"32,1,1.5,0.5,32,1,1.5,0.5"
215,10.7,"32,1,1.5,0.5,32,1,1.5,0.5"
216,10.75,"32,1,1.5,0.5,32,1,1.5,0.5"
217,10.8,"32,1,1.5,0.5,32,1,1.5,0.5"
218,10.85,"32,1,1.5,0.5,32,1,1.5,0.5"
219,10.9,"32,1,1.5,0.5,32,1,1.5,0.5"
220,10.95,"32,1,1.5,0.5,32,1,1.5,0.5"
221,11,"32,1,1.5,0.5,32,1,1.5,0.5"
222,11.05,"32,1,1.5,0.5,32,1,1.5,0.5"
223,11.1,"32,1,1.5,0.5,32,1,1.5,0.5"
224,11.15,"32,1,1.5,0.5,32,1,1.5,0.5"
225,11.2,"32,1,1.5,0.5,32,1,1.5,0.5"
226,11.25,"32,1,1.5,0.5,32,1,1.5,0.5"
227,11.3,"32,1,1.5,0.5,32,1,1.5,0.5"
228,11.35,"32,1,1.5,0.5,32,1,1.5,0.5"
229,11.4,"32,1,1.5,0.5,32,1,1.5,0.5"
230,11.45,"32,1,1.5,0.5,32,1,1.5,0.5"
231,11.5,"32,1,1.5,0.5,32,1,1.5,0.5"
232,11.55,"32,1,1.5,0.5,32,1,1.5,0.5"
233,11.6,"32,1,1.5,0.5,32,1,1.5,0.5"
234,11.65,"32,1,1.5,0.5,32,1,1.5,0.5"
235,11.7,"32,1,1.5,0.5,32,1,1.5,0.5"
236,11.75,"32,1,1.5,0.5,32,1,1.5,0.5"
237,11.8,"32,1,1.5,0.5,32,1,1.5,0.5"
238,11.85,"32,1,1.5,0.5,32,1,1.5,0.5"
239,11.9,"32,1,1.5,0.5,32,1,1.5,0.5"
