"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
0,-57.468729786059,80.13672078814,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83513907983432,-10.1505675519508,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7739646751758,4.19400671238358,0,0,0,0,0,0,0,0,0,0,0,0
-57.468729786059,0,0,0.118344948978398,-1.39359383935724e-17,0,0,0,0,0,0,0,0,0,0,-54.4174014024724,0,0,-1.13970597195051,1.34208281375727e-16,0,0,0,0,0,0,0,0,0,0,8.66152748540239,0,0,1.0048658000221,-1.18329916095295e-16,0,0,0,0,0,0,0,0,0,0
80.13672078814,0,0,-0.159424736494291,1.17152777036603,0,0,0,0,0,0,0,0,0,0,78.510387542222,0,0,0.224032119693339,-1.64629313772843,0,0,0,0,0,0,0,0,0,0,-11.9632481135322,0,0,-0.179284591392915,1.31746730296805,0,0,0,0,0,0,0,0,0,0
0,0.118344948978398,-0.159424736494291,0,0,0.349644173088692,1.98093813483387e-17,0,0,0,0,0,0,0,0,0,118.185173289333,-16.8637503399044,0,0,-1.76034211952927,-9.9733646470501e-17,0,0,0,0,0,0,0,0,0,67.8807265505296,-9.33291554915629,0,0,1.5488938409423,8.7753868432225e-17,0,0,0,0,0,0,0,0
0,-1.39359383935724e-17,1.17152777036603,0,0,-0.0203916622763014,0.353193951133396,0,0,0,0,0,0,0,0,0,-1.39171236982363e-14,123.922750447356,0,0,0.102665237275623,-1.77821407132493,0,0,0,0,0,0,0,0,0,-7.99342626352215e-15,68.58264272376,0,0,-0.0903333232392433,1.56461905466911,0,0,0,0,0,0,0,0
0,0,0,0.349644173088692,-0.0203916622763014,0,0,161.335734883059,0,0,0,0,0,0,0,0,0,0,147.501757743377,-8.60247720559266,0,0,50.4753579225895,0,0,0,0,0,0,0,0,0,0,83.7784149006898,-4.88605638013985,0,0,-19.3067427989375,0,0,0,0,0,0,0
0,0,0,1.98093813483387e-17,0.353193951133396,0,0,-5.17484610914667,161.998307424131,0,0,0,0,0,0,0,0,0,8.35683472965426e-15,148.999275910396,0,0,-1.61899786022499,50.6826497924568,0,0,0,0,0,0,0,0,0,4.74653575624191e-15,84.6289789904827,0,0,0.619264064007857,-19.3860316040209,0,0,0,0,0,0
0,0,0,0,0,161.335734883059,-5.17484610914667,0,0,158.118418034535,8.83202339313365e-15,0,0,0,0,0,0,0,0,0,28.5669985331274,-0.916286905168931,0,0,57.9095361660171,3.23465402994402e-15,0,0,0,0,0,0,0,0,0,-9.61580860023291,0.308427204656689,0,0,-21.6278511848987,-1.20806728262686e-15,0,0,0,0
0,0,0,0,0,0,161.998307424131,0,0,-3.21421392018134,158.444772185739,0,0,0,0,0,0,0,0,0,0,28.6843172959088,0,0,-1.1771787219336,58.0290606196324,0,0,0,0,0,0,0,0,0,0,-9.65529874011633,0,0,0.439648595060751,-21.6724907601206,0,0,0,0
0,0,0,0,0,0,0,158.118418034535,-3.21421392018134,0,0,154.025126430968,8.5856636416756e-15,0,0,0,0,0,0,0,0,0,23.6023819793001,-0.479786641242098,0,0,62.4948988785608,3.48358864248252e-15,0,0,0,0,0,0,0,0,0,-7.88845291090209,0.160355608600755,0,0,-23.2146098380876,-1.2940280346524e-15,0,0
0,0,0,0,0,0,0,8.83202339313365e-15,158.444772185739,0,0,-2.16315477355964,154.207296957595,0,0,0,0,0,0,0,0,0,1.31835868563601e-15,23.6510969578143,0,0,-0.877688867815179,62.568813628083,0,0,0,0,0,0,0,0,0,-4.40625459770939e-16,-7.90473456477931,0,0,0.326029883897484,-23.2420665121878,0,0
0,0,0,0,0,0,0,0,0,154.025126430968,-2.16315477355964,0,0,148.808612133079,8.28508582904806e-15,0,0,0,0,0,0,0,0,0,20.9948908950435,-0.294855777835259,0,0,67.2805058865369,3.7459173760268e-15,0,0,0,0,0,0,0,0,0,-6.83817918635623,0.0960365382725544,0,0,-24.7373647614126,-1.3772804362256e-15
0,0,0,0,0,0,0,0,0,8.5856636416756e-15,154.207296957595,0,0,-1.53077782368955,148.918799939464,0,0,0,0,0,0,0,0,0,1.17029653274986e-15,21.0197222353544,0,0,-0.692107163029112,67.3303248536642,0,0,0,0,0,0,0,0,0,-3.81173564183859e-16,-6.84626692328863,0,0,0.254470550128006,-24.7556819536754
0,0,0,0,0,0,0,0,0,0,0,148.808612133079,-1.53077782368955,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4646959352658,-0.189944295922858,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.83914328618028,0.0600666246644171,0,0
0,0,0,0,0,0,0,0,0,0,0,8.28508582904806e-15,148.918799939464,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02804258730766e-15,18.4783684257991,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25100829855528e-16,-5.84346697672916,0,0
0,-54.4174014024724,78.510387542222,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2055753052688,93.6970603749894,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00034930705534,-11.8724507492851,0,0,0,0,0,0,0,0,0,0,0,0
6.83513907983432,0,0,118.185173289333,-1.39171236982363e-14,0,0,0,0,0,0,0,0,0,0,-67.2055753052688,0,0,-0.0773411031174932,9.10745120632952e-18,0,0,0,0,0,0,0,0,0,0,-63.6172204599989,0,0,-1.18346868082089,1.39361643813399e-16,0,0,0,0,0,0,0,0,0,0
-10.1505675519508,0,0,-16.8637503399044,123.922750447356,0,0,0,0,0,0,0,0,0,0,93.6970603749894,0,0,-0.153447297038056,1.12760274045757,0,0,0,0,0,0,0,0,0,0,91.7691231622245,0,0,0.239516382626408,-1.76007876741575,0,0,0,0,0,0,0,0,0,0
0,-1.13970597195051,0.224032119693339,0,0,147.501757743377,8.35683472965426e-15,0,0,0,0,0,0,0,0,0,-0.0773411031174932,-0.153447297038056,0,0,-0.114224160393809,-6.47146478217099e-18,0,0,0,0,0,0,0,0,0,136.220929321643,-19.4379908677892,0,0,-1.71630232196342,-9.72385351212141e-17,0,0,0,0,0,0,0,0
0,1.34208281375727e-16,-1.64629313772843,0,0,-8.60247720559266,148.999275910396,0,0,0,0,0,0,0,0,0,9.10745120632952e-18,1.12760274045757,0,0,0.00666168831577752,-0.115383826271146,0,0,0,0,0,0,0,0,0,-1.60409590382106e-14,142.839477752888,0,0,0.100096784122961,-1.73372715775222,0,0,0,0,0,0,0,0
0,0,0,-1.76034211952927,0.102665237275623,0,0,28.5669985331274,0,0,0,0,0,0,0,0,0,0,-0.114224160393809,0.00666168831577752,0,0,184.382846983016,0,0,0,0,0,0,0,0,0,0,167.836229750984,-9.7884076962485,0,0,56.0954699859186,0,0,0,0,0,0,0
0,0,0,-9.9733646470501e-17,-1.77821407132493,0,0,-0.916286905168931,28.6843172959088,0,0,0,0,0,0,0,0,0,-6.47146478217099e-18,-0.115383826271146,0,0,-5.91408257442188,185.14006925336,0,0,0,0,0,0,0,0,0,9.508901148944e-15,169.540194551006,0,0,-1.79926303870493,56.3258424952587,0,0,0,0,0,0
0,0,0,0,0,50.4753579225895,-1.61899786022499,0,0,23.6023819793001,1.31835868563601e-15,0,0,0,0,0,0,0,0,0,184.382846983016,-5.91408257442188,0,0,181.259130955897,1.01245946216835e-14,0,0,0,0,0,0,0,0,0,33.2002480485141,-1.06489845266511,0,0,64.1588901616492,3.58372431136653e-15,0,0,0,0
0,0,0,0,0,0,50.6826497924568,0,0,-0.479786641242098,23.6510969578143,0,0,0,0,0,0,0,0,0,0,185.14006925336,0,0,-3.684615803272,181.633247207289,0,0,0,0,0,0,0,0,0,0,33.3365946101093,0,0,-1.30421490693081,64.2913131924459,0,0,0,0
0,0,0,0,0,0,0,57.9095361660171,-1.1771787219336,0,0,20.9948908950435,1.17029653274986e-15,0,0,0,0,0,0,0,0,0,181.259130955897,-3.684615803272,0,0,177.255007886776,9.88054294635162e-15,0,0,0,0,0,0,0,0,0,27.6905677745118,-0.562890835267029,0,0,68.9643331470936,3.84420763932162e-15,0,0
